;№ Контура;Длина, м;Измерение внутреннего конца;Измерение наружного конца;Отсечка, мкм;ДМП@ 1,55;ДМП@ 1,55;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;Геометрия;В* 10-4;h* 10-5;Номер заготовки;Стержень 1;Стержень 2;Диаметр стержня ср.;Диаметр стержня 1 ср.;Диаметр стержня 2 ср.;Диаметр легированной части стержня 1 ср.;Диаметр легированной части стержня 2 ср.;Диаметр канала;Диаметр канала 1;Диаметр канала 2;Стержень 1;Стержень 1;Стержень 1;Стержень 1;Стержень 1;Стержень 2;Стержень 2;Стержень 2;Стержень 2;Стержень 2;Линия 1;Линия 2;Статус;Линия;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Задание от технолога;Дата вытяжки;Скорость вытяжки мин.,м|мин;Скорость вытяжки сред.,м|мин;Скорость вытяжки макс.,м|мин;Диаметр по кварцу мин,мм;Диаметр по кварцу ср.,мм;Диаметр по кварцу макс,мм;Натяжение волокна мин, гр;Натяжение волокна сред, гр;Натяжение волокна макс, гр;Диаметр покрытия 1 мин, мкм;диаметр покрытия 1 сред., мкм;диаметр покрытия 1 макс, мкм;Диаметр покрытия 2 мин, мкм;диаметр покрытия 2 сред., мкм;диаметр покрытия 2 макс, мкм;Скорость подачи заготовки в печь мин., мм|мин;Скорость подачи заготовки в печь сред., мм|мин;Скорость подачи заготовки в печь макс., мм|мин;Количество волокна на выходе в режим до полной стабилизации, м;Количество волокна снятого с процесса, м;Количество обрывов во время вытяжки, шт;Количество зафиксированных (скачков) резких измененений скорости за время вытяжки;Температура вытяжки, град *;Степень полимеризации;Степень полимеризации. Метод экстракции;Рецепт отверждения полимеров;Технические работы;Технические работы;Технические работы;Технические работы;Технические работы;Технические работы;Стрежень 1;Стрежень 1;Стрежень 1;Стрежень 1;Стрежень 1;Стрежень 2;Стрежень 2;Стрежень 2;Стрежень 2;Стрежень 2;Номер преформы;Преформа;Преформа;Преформа;Преформа;Преформа;Преформа;Преформа;Преформа
;;;;;;Питерм;Гаусс;Ø, мкм;Ø, мкм;Ø, мкм;Ø, мкм;Некруглость, %;Некруглость, %;Некруглость, %;Конц-сть, мкм;Конц-сть, мкм;Ø, мкм.;Ø, мкм.;Некр.,%;Некр.,%;Конц., мкм;Конц., мкм;Планарность, мкм;Планарность, мкм;;;;;;;;;;;;;;Номер рецепта;Дата изготовления;Бор барб;Кремний барб;Фосфор барб;Номер рецепта;Дата изготовления;Бор барб;Кремний барб;Фосфор барб;;;;;Температура консолидации;Скорость консолидации, мм|мин;Т съема капли;Разряжение при вытяжке, кПа;Диаметр световода, мкм;Температура вытяжки, град;Скорость вытяжки мин.  м|мин;Скорость вытяжки макс., м|мин;Диаметр фильеры выходной 1, мкм;Диаметр фильеры выходной 2, мкм;Диаметр покрытия 1, мкм;Диаметр покрытия 2, мкм;Диаметр заготовки (средний),мм;Длина заготовки общая, мм;Длина заготовки по длине стержней, мм;;;;;;;;;;;;;;;;;;;;;;;;;;;;Дата последней полной чистки печи;Дата проведения последней юстировки оборудования на башне;Дата последней замены графитового нагревателя;Фактическая наработка графитового нагревателя, час;Дата последней замены графитового экрана;Фактическая наработка графитового экрана, час;Дельта интегр;Дельта Бор;Дельта Фосфор;Длег;Дст;Дельта интегр;Дельта Бор;Дельта Фосфор;Длег;Дст;;Дельта интегр;Диаметр сердцевины, мм;Некруглость сердцевины, мм;Конусность сердцевины, мм;Диаметр защитной оболочки ср, мм;Диаметр защитной оболочки медиана, мм;Диаметр защитной оболочки мин, мм;Диаметр защитной оболочки макс, мм
SysId;;;;;;;;ЗУП-1;Кварц;ЗУП-2;Сердц;Кварц;ЗУП-2;Сердц;ЗУП-2;Сердц;Ст1;Ст2;Ст1;Ст2;Ст1;Ст2;К кварц;К сердц;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;PS000907-A170828-1/1-1;1200;18683;18684;1439.495;7.3186;7.69575;131.73000000000002;80.89;166.935;6.385;0.32499999999999996;0.85;12.185;1.355;0.1;17.060000000000002;17.105;2.83;2.8;15.72;15.725000000000001;0.09;0.03;6.85;0.19;PS000907-A170828-1;CK002200-D221118;CK002200-D221118;7.1475;7.1475;7.165;5.705;5.715;7.247999999999999;7.247999999999999;7.247999999999999;Rec-CK002198-D200118;2018-11-22 13:45:00;21.6;7.0;19.8;Rec-CK002198-D200118;2018-11-22 13:45:00;21.6;7.0;19.8;3;3.0;На контроль;;1560.0;14.0;1920.0;33.0;80.1;1900.0;35.0;38.0;166.0;200.0;129.0;169.0;26.1;139.0;124.0;2018-12-11 00:00:00;31.0;33.0;35.0;78.8;79.8;80.8;35.0;40.0;44.0;129.4;130.0;130.5;168.3;169.2;170.0;0.33;0.33;0.33;650.0;5000.0;0.0;0.0;1900.0;;;;2018-12-05 00:00:00;2018-12-05 00:00:00;2017-04-19 00:00:00;2060.0;2018-06-06 00:00:00;420.0;0.0003388888888888889;-0.0073166666666666675;0.007655555555555556;5.866166666666667;10.576777777777778;0.0003388888888888889;-0.0073166666666666675;0.007655555555555556;5.866166666666667;10.576777777777778;PS000907-A170828;0.010471428571428573;2.015857142857143;0.008285714285714287;0.015142857142857142;5.029857142857144;5.066;4.8260000000000005;5.127000000000001
1;PS000907-A170828-1/1-2;1200;18685;18686;1408.4050000000002;7.2942;7.6579999999999995;131.79500000000002;80.915;166.9;6.275;0.265;0.95;7.84;1.005;0.09;17.53;17.57;2.9850000000000003;2.02;15.68;15.72;0.1;0.065;7.05;0.16;PS000907-A170828-1;CK002200-D221118;CK002200-D221118;7.1475;7.1475;7.165;5.705;5.715;7.247999999999999;7.247999999999999;7.247999999999999;Rec-CK002198-D200118;2018-11-22 13:45:00;21.6;7.0;19.8;Rec-CK002198-D200118;2018-11-22 13:45:00;21.6;7.0;19.8;3;3.0;На контроль;;1560.0;14.0;1920.0;33.0;80.1;1900.0;35.0;38.0;166.0;200.0;129.0;169.0;26.1;139.0;124.0;2018-12-11 00:00:00;31.0;33.0;35.0;78.8;79.8;80.8;35.0;40.0;44.0;129.4;130.0;130.5;168.3;169.2;170.0;0.33;0.33;0.33;650.0;5000.0;0.0;0.0;1900.0;;;;2018-12-05 00:00:00;2018-12-05 00:00:00;2017-04-19 00:00:00;2060.0;2018-06-06 00:00:00;420.0;0.0003388888888888889;-0.0073166666666666675;0.007655555555555556;5.866166666666667;10.576777777777778;0.0003388888888888889;-0.0073166666666666675;0.007655555555555556;5.866166666666667;10.576777777777778;PS000907-A170828;0.010471428571428573;2.015857142857143;0.008285714285714287;0.015142857142857142;5.029857142857144;5.066;4.8260000000000005;5.127000000000001
2;PS000907-A170828-1/1-3;1010;18687;18688;1396.79;7.2982;7.6479;131.92000000000002;81.055;166.99;6.33;0.44;1.1099999999999999;5.135;0.98;0.14500000000000002;17.795;17.83;2.7300000000000004;2.08;15.675;15.665;0.155;0.055;7.199999999999999;0.13;PS000907-A170828-1;CK002200-D221118;CK002200-D221118;7.1475;7.1475;7.165;5.705;5.715;7.247999999999999;7.247999999999999;7.247999999999999;Rec-CK002198-D200118;2018-11-22 13:45:00;21.6;7.0;19.8;Rec-CK002198-D200118;2018-11-22 13:45:00;21.6;7.0;19.8;3;3.0;На контроль;;1560.0;14.0;1920.0;33.0;80.1;1900.0;35.0;38.0;166.0;200.0;129.0;169.0;26.1;139.0;124.0;2018-12-11 00:00:00;31.0;33.0;35.0;78.8;79.8;80.8;35.0;40.0;44.0;129.4;130.0;130.5;168.3;169.2;170.0;0.33;0.33;0.33;650.0;5000.0;0.0;0.0;1900.0;;;;2018-12-05 00:00:00;2018-12-05 00:00:00;2017-04-19 00:00:00;2060.0;2018-06-06 00:00:00;420.0;0.0003388888888888889;-0.0073166666666666675;0.007655555555555556;5.866166666666667;10.576777777777778;0.0003388888888888889;-0.0073166666666666675;0.007655555555555556;5.866166666666667;10.576777777777778;PS000907-A170828;0.010471428571428573;2.015857142857143;0.008285714285714287;0.015142857142857142;5.029857142857144;5.066;4.8260000000000005;5.127000000000001
3;PS000907-A170828-2/1-2;1200;18713;18714;1392.685;7.29255;7.62945;132.22500000000002;80.735;166.73;6.205;0.38;0.835;7.75;1.075;0.16;17.740000000000002;18.125;2.7350000000000003;3.1849999999999996;15.649999999999999;15.555;0.205;0.21000000000000002;7.6;0.15;PS000907-A170828-2;CK002202-A261118;CK002202-A261118;7.1515;7.1515;7.151;5.69;5.69;7.252000000000001;7.252000000000001;7.252000000000001;Rec-CK002108-A110518;2018-11-27 04:00:00;21.6;7.8;15.5;Rec-CK002108-A110518;2018-11-27 04:00:00;21.6;7.8;15.5;1;1.0;На контроль;;1560.0;14.0;1920.0;33.0;80.0;1900.0;35.0;38.0;166.0;200.0;130.0;169.0;25.94;140.0;125.0;2018-12-11 00:00:00;32.0;35.0;37.0;78.3;80.0;81.1;34.0;41.0;46.0;129.2;129.9;130.6;168.0;169.0;170.1;0.37;0.37;0.37;650.0;5000.0;0.0;0.0;1900.0;;;;2018-12-05 00:00:00;2018-12-05 00:00:00;2017-04-19 00:00:00;2060.0;2018-06-06 00:00:00;420.0;-0.0002058823529411765;-0.007300000000000001;0.007094117647058823;5.825176470588235;10.682235294117646;-0.0002058823529411765;-0.007300000000000001;0.007094117647058823;5.825176470588235;10.682235294117646;PS000907-A170828;0.010471428571428573;2.015857142857143;0.008285714285714287;0.015142857142857142;5.029857142857144;5.066;4.8260000000000005;5.127000000000001
4;PS000815-A140817-2/1-2;1200;18728;18729;1413.1399999999999;7.1564499999999995;7.4892;131.975;80.78;167.38;6.109999999999999;0.325;0.49;9.295;1.43;0.47;17.54;18.275;2.4450000000000003;1.4;16.104999999999997;15.58;0.135;0.125;7.050000000000001;0.13;PS000815-A140817-2;CK002182-D280918;CK002199-D211118;7.1475;7.1475;7.1475;5.69;5.715;7.2485;7.2485;7.2485;Rec-CK002066-D210318;2018-09-28 08:50:00;23.1;10.5;19.8;Rec-CK002198-D201118;2018-11-21 13:35:00;21.7;7.5;19.8;3;3.0;На контроль;;1560.0;14.0;1920.0;33.0;80.2;1900.0;35.0;38.0;166.0;200.0;130.0;169.0;25.81;137.0;122.0;2018-12-12 00:00:00;29.0;32.0;35.0;79.0;80.0;81.1;31.0;37.0;43.0;129.4;129.8;130.3;168.8;169.7;170.6;0.37;0.37;0.37;650.0;5000.0;0.0;0.0;1900.0;;;;2018-12-05 00:00:00;2018-12-05 00:00:00;2017-04-19 00:00:00;2065.0;2018-06-06 00:00:00;425.0;0.0004000000000000001;-0.007312500000000001;0.007712499999999999;5.80725;10.531312499999999;;;;;;PS000815-A140817;;;;;;;;
5;PS000815-A140817-2/1-3;520;18730;18731;1404.88;7.17295;7.5032499999999995;131.84;80.81;167.70999999999998;6.21;0.5;0.48000000000000004;8.765;1.3599999999999999;0.26;17.98;18.145;2.68;1.915;16.064999999999998;15.575;0.1;0.14500000000000002;7.300000000000001;0.21;PS000815-A140817-2;CK002182-D280918;CK002199-D211118;7.1475;7.1475;7.1475;5.69;5.715;7.2485;7.2485;7.2485;Rec-CK002066-D210318;2018-09-28 08:50:00;23.1;10.5;19.8;Rec-CK002198-D201118;2018-11-21 13:35:00;21.7;7.5;19.8;3;3.0;На контроль;;1560.0;14.0;1920.0;33.0;80.2;1900.0;35.0;38.0;166.0;200.0;130.0;169.0;25.81;137.0;122.0;2018-12-12 00:00:00;29.0;32.0;35.0;79.0;80.0;81.1;31.0;37.0;43.0;129.4;129.8;130.3;168.8;169.7;170.6;0.37;0.37;0.37;650.0;5000.0;0.0;0.0;1900.0;;;;2018-12-05 00:00:00;2018-12-05 00:00:00;2017-04-19 00:00:00;2065.0;2018-06-06 00:00:00;425.0;0.0004000000000000001;-0.007312500000000001;0.007712499999999999;5.80725;10.531312499999999;;;;;;PS000815-A140817;;;;;;;;
6;PS000815-A140817-3/1-1;1200;18770;18771;1409.27;7.22855;7.5588;132.4;80.7;166.485;6.275;1.1400000000000001;0.5700000000000001;4.13;1.5150000000000001;0.26;18.0;18.32;3.515;4.73;15.92;15.96;0.11499999999999999;0.185;7.85;0.13;PS000815-A140817-3;CK002194-A131118;CK002203-A271118;7.1475;7.1475;7.148;5.6899999999999995;5.695;7.2465;7.2465;7.2465;Rec-CK002108-A110518;2018-11-13 04:05:00;22.0;10.7;16.3;Rec-CK002108-A110518-132-20181108 - Ярлык;2018-11-28 14:35:00;21.4;7.0;16.2;1;1.0;На контроль;;1545.0;14.0;1920.0;44.0;80.2;1900.0;35.0;38.0;;;;;25.56;186.0;171.0;2018-12-14 00:00:00;28.8;35.0;37.8;78.8;80.0;81.1;31.0;40.0;47.0;129.2;130.0;130.6;168.6;169.0;170.7;0.38;0.38;0.38;600.0;7600.0;0.0;0.0;1900.0;;;;2018-12-05 00:00:00;2018-12-05 00:00:00;2017-04-19 00:00:00;2073.0;2018-06-06 00:00:00;433.0;-0.00034;-0.0072900000000000005;0.00695;5.745400000000002;10.6917;-0.00026;-0.007246666666666667;0.006986666666666669;5.853133333333334;10.702933333333332;PS000815-A140817;;;;;;;;
7;PS000815-A140817-3/1-2;1100;18772;18773;1418.24;7.23935;7.5672999999999995;132.4;80.765;166.79000000000002;6.390000000000001;1.525;0.7849999999999999;4.915;1.595;0.235;18.285;18.285;4.395;3.915;16.18;15.989999999999998;0.175;0.135;7.8;0.16;PS000815-A140817-3;CK002194-A131118;CK002203-A271118;7.1475;7.1475;7.148;5.6899999999999995;5.695;7.2465;7.2465;7.2465;Rec-CK002108-A110518;2018-11-13 04:05:00;22.0;10.7;16.3;Rec-CK002108-A110518-132-20181108 - Ярлык;2018-11-28 14:35:00;21.4;7.0;16.2;1;1.0;На контроль;;1545.0;14.0;1920.0;44.0;80.2;1900.0;35.0;38.0;;;;;25.56;186.0;171.0;2018-12-14 00:00:00;28.8;35.0;37.8;78.8;80.0;81.1;31.0;40.0;47.0;129.2;130.0;130.6;168.6;169.0;170.7;0.38;0.38;0.38;600.0;7600.0;0.0;0.0;1900.0;;;;2018-12-05 00:00:00;2018-12-05 00:00:00;2017-04-19 00:00:00;2073.0;2018-06-06 00:00:00;433.0;-0.00034;-0.0072900000000000005;0.00695;5.745400000000002;10.6917;-0.00026;-0.007246666666666667;0.006986666666666669;5.853133333333334;10.702933333333332;PS000815-A140817;;;;;;;;
